yearID,awardID,teamID,teamName,lgID,divID,playerName
2007,Silver Slugger,PHI,Philadelphia Phillies,NL,E,Jimmy Rollins
2008,Cy Young Award,CLE,Cleveland Indians,AL,C,Cliff Lee
2008,Cy Young Award,SFN,San Francisco Giants,NL,W,Tim Lincecum
2008,Gold Glove,TBA,Tampa Bay Rays,AL,E,Carlos Pena
2008,Gold Glove,BOS,Boston Red Sox,AL,E,Dustin Pedroia
2008,Gold Glove,SEA,Seattle Mariners,AL,W,Adrian Beltre
2008,Gold Glove,MIN,Minnesota Twins,AL,C,Joe Mauer
2008,Gold Glove,LAA,Los Angeles Angels of Anaheim,AL,W,Torii Hunter
2008,Gold Glove,CLE,Cleveland Indians,AL,C,Grady Sizemore
2008,Gold Glove,SEA,Seattle Mariners,AL,W,Ichiro Suzuki
2008,Gold Glove,NYA,New York Yankees,AL,E,Mike Mussina
2008,Gold Glove,TEX,Texas Rangers,AL,W,Michael Young
2008,Gold Glove,SDN,San Diego Padres,NL,W,Adrian Gonzalez
2008,Gold Glove,CIN,Cincinnati Reds,NL,C,Brandon Phillips
2008,Gold Glove,NYN,New York Mets,NL,E,David Wright
2008,Gold Glove,SLN,St. Louis Cardinals,NL,C,Yadier Molina
2008,Gold Glove,NYN,New York Mets,NL,E,Carlos Beltran
2008,Gold Glove,PIT,Pittsburgh Pirates,NL,C,Nate McLouth
2008,Gold Glove,PHI,Philadelphia Phillies,NL,E,Shane Victorino
2008,Gold Glove,LAN,Los Angeles Dodgers,NL,W,Greg Maddux
2008,Gold Glove,LAN,Los Angeles Dodgers,NL,W,Greg Maddux
2008,Gold Glove,SDN,San Diego Padres,NL,W,Greg Maddux
2008,Gold Glove,SDN,San Diego Padres,NL,W,Greg Maddux
2008,Gold Glove,PHI,Philadelphia Phillies,NL,E,Jimmy Rollins
2008,Most Valuable Player,BOS,Boston Red Sox,AL,E,Dustin Pedroia
2008,Most Valuable Player,SLN,St. Louis Cardinals,NL,C,Albert Pujols
2008,Rookie of the Year,TBA,Tampa Bay Rays,AL,E,Evan Longoria
2008,Rookie of the Year,CHN,Chicago Cubs,NL,C,Geovany Soto
2008,Silver Slugger,MIN,Minnesota Twins,AL,C,Justin Morneau
2008,Silver Slugger,BOS,Boston Red Sox,AL,E,Dustin Pedroia
